,Bradley Byrne,Martha Roby,Mike D Rogers,Robert B Aderholt,Mo Brooks,Gary Palmer,Terri A Sewell,Jeff Sessions,Doug Jones,Luther Strange,Richard C Shelby,Don Young,Dan Sullivan,Lisa Murkowski,Tom O'Halleran,Martha McSally,Raul M Grijalva,Paul Gosar,Andy Biggs,David Schweikert,Ruben Gallego,Debbie Lesko,Trent Franks,Kyrsten Sinema,John McCain,Jon Kyl,Jeff Flake,Rick Crawford,French Hill,Steve Womack,Bruce Westerman,Tom Cotton,John Boozman,Doug LaMalfa,Jared Huffman,John Garamendi,Tom McClintock,Mike Thompson,Doris Matsui,Ami Bera,Paul Cook,Jerry McNerney,Jeff Denham,Mark Desaulnier,Nancy Pelosi,Barbara Lee,Jackie Speier,Eric Swalwell,Jim Costa,Ro Khanna,Anna Eshoo,Zoe Lofgren,Jimmy Panetta,David Valadao,Devin Nunes,Kevin McCarthy,Salud Carbajal,Steve Knight,Julia Brownley,Judy Chu,Adam Schiff,Tony Cardenas,Brad Sherman,Pete Aguilar,Grace Napolitano,Ted Lieu,Jimmy Gomez,Xavier Becerra,Norma Torres,Raul Ruiz,Karen Bass,Linda Sanchez,Ed Royce,Lucille Roybal-Allard,Mark Takano,Ken Calvert,Maxine Waters,Nanette Barragan,Mimi Walters,Lou Correa,Alan Lowenthal,Dana Rohrabacher,Darrell Issa,Duncan D. Hunter,Juan Vargas,Scott Peters,Susan Davis,Kamala Harris,Dianne Feinstein,Diana DeGette,Jared Polis,Scott Tipton,Ken Buck,Douglas L Lamborn,Mike Coffman,Ed Perlmutter,Michael Bennet,Cory Gardner,John B Larson,Joe Courtney,Rosa L DeLauro,Jim Himes,Elizabeth Esty,Christopher S Murphy,Richard Blumenthal,Lisa Blunt Rochester,Tom Carper,Chris Coons,Matt Gaetz,Neal Dunn,Ted Yoho,John Rutherford,Al Lawson,Ron DeSantis,Stephanie Murphy,Bill Posey,Darren Soto,Val Demings,Daniel Webster,Gus Bilirakis,Charlie Crist,Kathy Castor,Dennis Ross,Vernon Buchanan,Tom Rooney,Brian Mast,Francis Rooney,Alcee L Hastings,Lois J Frankel,Ted Deutch,Debbie Wasserman Schultz,Frederica Wilson,Mario Diaz-Balart,Carlos Curbelo,Ileana Ros-Lehtinen,Bill Nelson,Marco Rubio,Buddy Carter,Sanford Bishop,Drew Ferguson,Hank Johnson,John Lewis,Tom Price,Karen Handel,Rob Woodall,Austin Scott,Doug Collins,Jody Hice,Barry Loudermilk,Richard W Allen,David Scott,Tom Graves,David Perdue,Johnny Isakson,Colleen Hanabusa,Tulsi Gabbard,Brian Schatz,Mazie K Hirono,Raul Labrador,Mike Simpson,James E Risch,Mike Crapo,Bobby L Rush,Robin Kelly,Daniel Lipinski,Luis V Gutierrez,Mike Quigley,Peter Roskam,Danny K Davis,Raja Krishnamoorthi,Jan Schakowsky,Brad Schneider,Bill Foster,Mike Bost,Rodney Davis,Randy Hultgren,John Shimkus,Adam Kinzinger,Cheri Bustos,Darin LaHood,Dick Durbin,Tammy Duckworth,Pete Visclosky,Jackie Walorski,Jim Banks,Todd Rokita,Susan Brooks,Luke Messer,Andre Carson,Larry Bucshon,Trey Hollingsworth,Joe Donnelly,Todd Young,Rod Blum,David Loebsack,David Young,Steven A. King,Chuck Grassley,Joni Ernst,Roger Marshall,Lynn Jenkins,Kevin Yoder,Mike Pompeo,Ron Estes,Pat Roberts,Jerry Moran,James Comer,Brett Guthrie,John A Yarmuth,Thomas Massie,Hal Rogers,Andy Barr,Mitch McConnell,Rand Paul,Steve Scalise,Cedric Richmond,Clay Higgins,Mike Johnson,Ralph Abraham,Garret Graves,Bill Cassidy,John Kennedy,Chellie Pingree,Bruce Poliquin,Angus King,Susan Collins,Andy Harris,Dutch Ruppersberger,John Sarbanes,Anthony Brown,Steny H Hoyer,John K Delaney,Elijah E Cummings,Jamie Raskin,Ben Cardin,Chris Van Hollen,Richard E Neal,James P McGovern,Niki Tsongas,Joe Kennedy III,Katherine Clark,Seth Moulton,Michael E Capuano,Stephen F Lynch,Bill Keating,Elizabeth Warren,Ed Markey,John Bergman,Bill Huizenga,Justin Amash,John Moolenaar,Dan Kildee,Fred Upton,Tim Walberg,Mike Bishop,Sander Levin,Paul Mitchell,Dave Trott,Debbie Dingell,John Conyers Jr.,Brenda Jones,Brenda Lawrence,Gary Peters,Debbie Stabenow,Tim Walz,Jason Lewis,Erik Paulsen,Betty McCollum,Keith Ellison,Tom Emmer,Collin Peterson,Rick Nolan,Tina Smith,Al Franken,Amy Klobuchar,Trent Kelly,Bennie G Thompson,Gregg Harper,Steven Palazzo,Thad Cochran,Cindy Hyde-Smith,Roger Wicker,William L Clay Jr.,Ann L Wagner,Blaine Luetkemeyer,Vicky Hartzler,Emanuel Cleaver,Sam Graves,Billy Long,Jason Smith,Roy Blunt,Claire McCaskill,Greg Gianforte,Ryan K Zinke,Jon Tester,Steven Daines,Jeff Fortenberry,Don Bacon,Adrian Smith,Deb Fischer,Ben Sasse,Dina Titus,Mark Amodei,Jacky Rosen,Ruben Kihuen,Dean Heller,Catherine Cortez Masto,Carol Shea-Porter,Ann Kuster,Maggie Hassan,Jeanne Shaheen,Don Norcross,Frank LoBiondo,Thomas MacArthur,Chris Smith,Josh Gottheimer,Frank Pallone Jr.,Leonard Lance,Albio Sires,Bill Pascrell Jr.,Donald M Payne Jr.,Rodney Frelinghuysen,Bonnie Coleman,Robert Menendez,Cory Booker,Michelle Lujan Grisham,Steve Pearce,Ben Ray Lujan,Martin Heinrich,Tom Udall,Lee Zeldin,Pete King,Tom Suozzi,Kathleen Rice,Gregory W Meeks,Grace Meng,Nydia M Velazquez,Hakeem Jeffries,Yvette D Clarke,Jerrold Nadler,Dan Donovan,Carolyn B Maloney,Adriano Espaillat,Joseph Crowley,Jose E Serrano,Eliot L Engel,Nita M Lowey,Sean Patrick Maloney,John Faso,Paul Tonko,Elise Stefanik,Claudia Tenney,Tom Reed,John Katko,Joseph D Morelle,Louise M Slaughter,Brian M Higgins,Chris Collins,Kirsten Gillibrand,Charles E Schumer,G K Butterfield,George Holding,Walter B Jones Jr.,David Price,Virginia Foxx,Mark Walker,David Rouzer,Richard Hudson,Robert Pittenger,Patrick McHenry,Mark Meadows,Alma Adams,Ted Budd,Thom Tillis,Richard Burr,Kevin Cramer,John Hoeven,Heidi Heitkamp,Steve Chabot,Brad Wenstrup,Joyce Beatty,Jim Jordan,Robert E Latta,Bill Johnson,Bob Gibbs,Warren Davidson,Marcy Kaptur,Michael R Turner,Marcia L Fudge,Troy Balderson,Pat Tiberi,Tim Ryan,David P Joyce,Steve Stivers,Jim Renacci,Sherrod Brown,Rob Portman,Kevin Hern,James Bridenstine,Markwayne Mullin,Frank D Lucas,Tom Cole,Steven Russell,James Lankford,James M Inhofe,Suzanne Bonamici,Greg Walden,Earl Blumenauer,Peter DeFazio,Kurt Schrader,Jeff Merkley,Ron Wyden,Robert A. Brady,Dwight Evans,Mike Kelly,Scott Perry,Glenn Thompson,Ryan Costello,Patrick Meehan,Mary Gay Scanlon,Brian Fitzpatrick,Bill Shuster,Tom Marino,Lou Barletta,Keith J Rothfus,Brendan Boyle,Mike Doyle,Susan Wild,Charlie Dent,Lloyd Smucker,Matt Cartwright,Tim Murphy,Conor Lamb,Pat Toomey,Bob Casey,David Cicilline,Jim Langevin,Sheldon Whitehouse,Jack Reed,Mark Sanford,Joe Wilson,Jeff Duncan,Trey Gowdy,Ralph Norman,Mick Mulvaney,James E Clyburn,Tom Rice,Tim Scott,Lindsey Graham,Kristi Noem,John Thune,Mike Rounds,Phil Roe,John J Duncan Jr.,Chuck Fleischmann,Scott Desjarlais,Jim Cooper,Diane Black,Marsha Blackburn,David Kustoff,Steve Cohen,Bob Corker,Lamar Alexander,Louis B Gohmert Jr.,Ted Poe,Sam Johnson,John Lee Ratcliffe,Jeb Hensarling,Joe Barton,John Culberson,Kevin Brady,Al Green,Michael McCaul,Mike Conaway,Kay Granger,Mac Thornberry,Randy Weber,Vicente Gonzalez,Beto O'Rourke,Bill Flores,Sheila Jackson Lee,Jodey Arrington,Joaquin Castro,Lamar Smith,Pete Olson,Will Hurd,Kenny Marchant,Roger Williams,Michael Burgess,Blake Farenthold,Michael Cloud,Henry Cuellar,Gene Green,Eddie Bernice Johnson,John Carter,Pete Sessions,Marc Veasey,Filemon Vela,Lloyd Doggett,Brian Babin,John Cornyn,Ted Cruz,Rob Bishop,Chris Stewart,John Curtis,Jason Chaffetz,Mia Love,Orrin G Hatch,Mike Lee,Peter Welch,Bernie Sanders,Patrick Leahy,Rob Wittman,Scott Taylor,Bobby Scott,Donald McEachin,Tom Garrett,Bob Goodlatte,Dave Brat,Don Beyer,Morgan Griffith,Barbara Comstock,Gerry Connolly,Tim Kaine,Mark Warner,Suzan DelBene,Rick Larsen,Jaime Herrera Beutler,Dan Newhouse,Cathy McMorris Rodgers,Derek Kilmer,Pramila Jayapal,Dave Reichert,Adam Smith,Dennis Heck,Maria Cantwell,Patty Murray,David McKinley,Alex Mooney,Evan Jenkins,Joe Manchin,Shelley Moore Capito,Paul Ryan,Mark Pocan,Ron Kind,Gwen Moore,Jim Sensenbrenner,Glenn S Grothman,Sean P Duffy,Mike Gallagher,Tammy Baldwin,Ron Johnson,Liz Cheney,John A Barrasso,Mike Enzi
Labor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$5,000","$16,000","$125,500","$2,000","$137,500","$3,500","$2,500","$29,000","$7,500","$7,750","$9,000","$13,000","$1,000","$50,500","$80,500","$96,200","$35,000","$35,000","$199,500","$109,000","$181,500","$23,500","$16,500","$4,000","$35,000","$15,000","$5,000",,"$6,000","$11,500","$3,000","$126,000","$137,800","$165,750","$60,000","$35,250","$189,500","$121,000","$2,000","$9,000",$0,"$69,500",$0,"$52,500","$210,000","$253,600","$217,500","$100,000","$211,550","$16,500","$73,000","$8,000","$148,500","$222,500","$37,500","$138,792","$126,500","$2,000","$290,760","$250,250","$15,000","$30,500","$288,500","$113,000","$35,000","$262,000","$67,500","$149,332",$0,"$13,000","$37,500","$20,200","$311,505","$37,000","$2,000","$16,500","$15,000"
Business,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-$1,500","$945,776","$130,000","$471,709","$376,886","$235,500","$900,905","$1,328,764","$860,134","$523,457","$1,046,529","$131,680","$108,307","$1,019,877","$300,124","$237,900","$704,414","$1,706,187","$639,134","$538,657","$227,650","$498,955","$4,240,769","$1,142,418","$504,223","$490,711","$312,590",,"$758,790","$2,538,046","$1,075,870","$505,350","$11,500","$1,015,559","$625,765","$658,199","$238,908","$313,330","$185,975","$263,200","$230,429","$655,593","$569,483","$1,335,786","$646,150","$2,032,168","$3,175,093","$997,698","$615,750","$690,373","$569,461","$1,861,014","$1,048,721","$55,884","$265,250","$573,654","$697,450","$12,597","$3,246,335","$549,006","$512,737","$250,610","$2,169,295","$2,353,637","$1,360,300","$378,750","$1,682,793","$603,350","$165,000","$460,516","$1,348,300","$665,335","$1,439,716","$2,173,199","$421,499","$3,108,650","$1,758,591"
Ideological,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$62,883","$22,552","$16,375","$48,772","$23,025","$2,000","$82,410","$550,323","$25,300","$16,552","$66,400","$31,500","$91,250","$35,995","$9,000","$29,475","$258,330","$455,516","$21,250","$27,093","$15,125","$31,707","$522,441","$492,980","$35,200","$41,500","$167,250",,"$345,238","$210,200","$290,600","$21,000","$83,901","$408,017","$45,529","$333,384","$33,349","$56,054","$98,250","$5,950","$213,249","$35,264","$51,650","$464,250","$50,499","$474,431","$501,614","$23,500","$17,250","$328,772","$57,500","$370,213","$25,950","$66,200","$19,500","$109,000","$27,000","$26,219","$504,227","$58,500","$262,005","$50,200","$493,489","$537,250","$4,400","$27,250","$45,428","$25,750","$29,882","$176,382","$77,530","$184,732","$685,472","$647,935","$51,684","$431,281","$419,522"
