,Bradley Byrne,Martha Roby,Mike D Rogers,Robert B Aderholt,Mo Brooks,Gary Palmer,Terri A Sewell,Jeff Sessions,Doug Jones,Luther Strange,Richard C Shelby,Don Young,Dan Sullivan,Lisa Murkowski,Tom O'Halleran,Martha McSally,Raul M Grijalva,Paul Gosar,Andy Biggs,David Schweikert,Ruben Gallego,Debbie Lesko,Trent Franks,Kyrsten Sinema,John McCain,Jon Kyl,Jeff Flake,Rick Crawford,French Hill,Steve Womack,Bruce Westerman,Tom Cotton,John Boozman,Doug LaMalfa,Jared Huffman,John Garamendi,Tom McClintock,Mike Thompson,Doris Matsui,Ami Bera,Paul Cook,Jerry McNerney,Jeff Denham,Mark Desaulnier,Nancy Pelosi,Barbara Lee,Jackie Speier,Eric Swalwell,Jim Costa,Ro Khanna,Anna Eshoo,Zoe Lofgren,Jimmy Panetta,David Valadao,Devin Nunes,Kevin McCarthy,Salud Carbajal,Steve Knight,Julia Brownley,Judy Chu,Adam Schiff,Tony Cardenas,Brad Sherman,Pete Aguilar,Grace Napolitano,Ted Lieu,Jimmy Gomez,Xavier Becerra,Norma Torres,Raul Ruiz,Karen Bass,Linda Sanchez,Ed Royce,Lucille Roybal-Allard,Mark Takano,Ken Calvert,Maxine Waters,Nanette Barragan,Mimi Walters,Lou Correa,Alan Lowenthal,Dana Rohrabacher,Darrell Issa,Duncan D. Hunter,Juan Vargas,Scott Peters,Susan Davis,Kamala Harris,Dianne Feinstein,Diana DeGette,Jared Polis,Scott Tipton,Ken Buck,Douglas L Lamborn,Mike Coffman,Ed Perlmutter,Michael Bennet,Cory Gardner,John B Larson,Joe Courtney,Rosa L DeLauro,Jim Himes,Elizabeth Esty,Christopher S Murphy,Richard Blumenthal,Lisa Blunt Rochester,Tom Carper,Chris Coons,Matt Gaetz,Neal Dunn,Ted Yoho,John Rutherford,Al Lawson,Ron DeSantis,Stephanie Murphy,Bill Posey,Darren Soto,Val Demings,Daniel Webster,Gus Bilirakis,Charlie Crist,Kathy Castor,Dennis Ross,Vernon Buchanan,Tom Rooney,Brian Mast,Francis Rooney,Alcee L Hastings,Lois J Frankel,Ted Deutch,Debbie Wasserman Schultz,Frederica Wilson,Mario Diaz-Balart,Carlos Curbelo,Ileana Ros-Lehtinen,Bill Nelson,Marco Rubio,Buddy Carter,Sanford Bishop,Drew Ferguson,Hank Johnson,John Lewis,Tom Price,Karen Handel,Rob Woodall,Austin Scott,Doug Collins,Jody Hice,Barry Loudermilk,Richard W Allen,David Scott,Tom Graves,David Perdue,Johnny Isakson,Colleen Hanabusa,Tulsi Gabbard,Brian Schatz,Mazie K Hirono,Raul Labrador,Mike Simpson,James E Risch,Mike Crapo,Bobby L Rush,Robin Kelly,Daniel Lipinski,Luis V Gutierrez,Mike Quigley,Peter Roskam,Danny K Davis,Raja Krishnamoorthi,Jan Schakowsky,Brad Schneider,Bill Foster,Mike Bost,Rodney Davis,Randy Hultgren,John Shimkus,Adam Kinzinger,Cheri Bustos,Darin LaHood,Dick Durbin,Tammy Duckworth,Pete Visclosky,Jackie Walorski,Jim Banks,Todd Rokita,Susan Brooks,Luke Messer,Andre Carson,Larry Bucshon,Trey Hollingsworth,Joe Donnelly,Todd Young,Rod Blum,David Loebsack,David Young,Steven A. King,Chuck Grassley,Joni Ernst,Roger Marshall,Lynn Jenkins,Kevin Yoder,Mike Pompeo,Ron Estes,Pat Roberts,Jerry Moran,James Comer,Brett Guthrie,John A Yarmuth,Thomas Massie,Hal Rogers,Andy Barr,Mitch McConnell,Rand Paul,Steve Scalise,Cedric Richmond,Clay Higgins,Mike Johnson,Ralph Abraham,Garret Graves,Bill Cassidy,John Kennedy,Chellie Pingree,Bruce Poliquin,Angus King,Susan Collins,Andy Harris,Dutch Ruppersberger,John Sarbanes,Anthony Brown,Steny H Hoyer,John K Delaney,Elijah E Cummings,Jamie Raskin,Ben Cardin,Chris Van Hollen,Richard E Neal,James P McGovern,Niki Tsongas,Joe Kennedy III,Katherine Clark,Seth Moulton,Michael E Capuano,Stephen F Lynch,Bill Keating,Elizabeth Warren,Ed Markey,John Bergman,Bill Huizenga,Justin Amash,John Moolenaar,Dan Kildee,Fred Upton,Tim Walberg,Mike Bishop,Sander Levin,Paul Mitchell,Dave Trott,Debbie Dingell,John Conyers Jr.,Brenda Jones,Brenda Lawrence,Gary Peters,Debbie Stabenow,Tim Walz,Jason Lewis,Erik Paulsen,Betty McCollum,Keith Ellison,Tom Emmer,Collin Peterson,Rick Nolan,Tina Smith,Al Franken,Amy Klobuchar,Trent Kelly,Bennie G Thompson,Gregg Harper,Steven Palazzo,Thad Cochran,Cindy Hyde-Smith,Roger Wicker,William L Clay Jr.,Ann L Wagner,Blaine Luetkemeyer,Vicky Hartzler,Emanuel Cleaver,Sam Graves,Billy Long,Jason Smith,Roy Blunt,Claire McCaskill,Greg Gianforte,Ryan K Zinke,Jon Tester,Steven Daines,Jeff Fortenberry,Don Bacon,Adrian Smith,Deb Fischer,Ben Sasse,Dina Titus,Mark Amodei,Jacky Rosen,Ruben Kihuen,Dean Heller,Catherine Cortez Masto,Carol Shea-Porter,Ann Kuster,Maggie Hassan,Jeanne Shaheen,Don Norcross,Frank LoBiondo,Thomas MacArthur,Chris Smith,Josh Gottheimer,Frank Pallone Jr.,Leonard Lance,Albio Sires,Bill Pascrell Jr.,Donald M Payne Jr.,Rodney Frelinghuysen,Bonnie Coleman,Robert Menendez,Cory Booker,Michelle Lujan Grisham,Steve Pearce,Ben Ray Lujan,Martin Heinrich,Tom Udall,Lee Zeldin,Pete King,Tom Suozzi,Kathleen Rice,Gregory W Meeks,Grace Meng,Nydia M Velazquez,Hakeem Jeffries,Yvette D Clarke,Jerrold Nadler,Dan Donovan,Carolyn B Maloney,Adriano Espaillat,Joseph Crowley,Jose E Serrano,Eliot L Engel,Nita M Lowey,Sean Patrick Maloney,John Faso,Paul Tonko,Elise Stefanik,Claudia Tenney,Tom Reed,John Katko,Joseph D Morelle,Louise M Slaughter,Brian M Higgins,Chris Collins,Kirsten Gillibrand,Charles E Schumer,G K Butterfield,George Holding,Walter B Jones Jr.,David Price,Virginia Foxx,Mark Walker,David Rouzer,Richard Hudson,Robert Pittenger,Patrick McHenry,Mark Meadows,Alma Adams,Ted Budd,Thom Tillis,Richard Burr,Kevin Cramer,John Hoeven,Heidi Heitkamp,Steve Chabot,Brad Wenstrup,Joyce Beatty,Jim Jordan,Robert E Latta,Bill Johnson,Bob Gibbs,Warren Davidson,Marcy Kaptur,Michael R Turner,Marcia L Fudge,Troy Balderson,Pat Tiberi,Tim Ryan,David P Joyce,Steve Stivers,Jim Renacci,Sherrod Brown,Rob Portman,Kevin Hern,James Bridenstine,Markwayne Mullin,Frank D Lucas,Tom Cole,Steven Russell,James Lankford,James M Inhofe,Suzanne Bonamici,Greg Walden,Earl Blumenauer,Peter DeFazio,Kurt Schrader,Jeff Merkley,Ron Wyden,Robert A. Brady,Dwight Evans,Mike Kelly,Scott Perry,Glenn Thompson,Ryan Costello,Patrick Meehan,Mary Gay Scanlon,Brian Fitzpatrick,Bill Shuster,Tom Marino,Lou Barletta,Keith J Rothfus,Brendan Boyle,Mike Doyle,Susan Wild,Charlie Dent,Lloyd Smucker,Matt Cartwright,Tim Murphy,Conor Lamb,Pat Toomey,Bob Casey,David Cicilline,Jim Langevin,Sheldon Whitehouse,Jack Reed,Mark Sanford,Joe Wilson,Jeff Duncan,Trey Gowdy,Ralph Norman,Mick Mulvaney,James E Clyburn,Tom Rice,Tim Scott,Lindsey Graham,Kristi Noem,John Thune,Mike Rounds,Phil Roe,John J Duncan Jr.,Chuck Fleischmann,Scott Desjarlais,Jim Cooper,Diane Black,Marsha Blackburn,David Kustoff,Steve Cohen,Bob Corker,Lamar Alexander,Louis B Gohmert Jr.,Ted Poe,Sam Johnson,John Lee Ratcliffe,Jeb Hensarling,Joe Barton,John Culberson,Kevin Brady,Al Green,Michael McCaul,Mike Conaway,Kay Granger,Mac Thornberry,Randy Weber,Vicente Gonzalez,Beto O'Rourke,Bill Flores,Sheila Jackson Lee,Jodey Arrington,Joaquin Castro,Lamar Smith,Pete Olson,Will Hurd,Kenny Marchant,Roger Williams,Michael Burgess,Blake Farenthold,Michael Cloud,Henry Cuellar,Gene Green,Eddie Bernice Johnson,John Carter,Pete Sessions,Marc Veasey,Filemon Vela,Lloyd Doggett,Brian Babin,John Cornyn,Ted Cruz,Rob Bishop,Chris Stewart,John Curtis,Jason Chaffetz,Mia Love,Orrin G Hatch,Mike Lee,Peter Welch,Bernie Sanders,Patrick Leahy,Rob Wittman,Scott Taylor,Bobby Scott,Donald McEachin,Tom Garrett,Bob Goodlatte,Dave Brat,Don Beyer,Morgan Griffith,Barbara Comstock,Gerry Connolly,Tim Kaine,Mark Warner,Suzan DelBene,Rick Larsen,Jaime Herrera Beutler,Dan Newhouse,Cathy McMorris Rodgers,Derek Kilmer,Pramila Jayapal,Dave Reichert,Adam Smith,Dennis Heck,Maria Cantwell,Patty Murray,David McKinley,Alex Mooney,Evan Jenkins,Joe Manchin,Shelley Moore Capito,Paul Ryan,Mark Pocan,Ron Kind,Gwen Moore,Jim Sensenbrenner,Glenn S Grothman,Sean P Duffy,Mike Gallagher,Tammy Baldwin,Ron Johnson,Liz Cheney,John A Barrasso,Mike Enzi
Labor,"$18,500","$8,000","$12,000","$16,000","$7,000","$1,000","$89,500",$0,"$145,500","$8,500","$28,500","$140,000","$22,500","$153,500","$206,500","$18,500","$158,500",$0,"$8,500","$2,500","$178,000","$11,000","$3,500","$282,500","$13,000",,"$1,000","$2,000","$5,000","$5,500","$9,500","$5,500","$26,000","$15,125","$141,884","$272,751",$0,"$120,500","$85,500","$56,900","$179,000","$148,820","$181,500","$184,500","$248,200","$180,300","$90,700","$187,200","$61,000",-$500,"$63,000","$64,700","$92,250","$96,500","$1,500","$44,500","$144,500","$21,500","$256,000","$167,300","$135,005","$124,500","$145,500","$175,000","$137,000","$111,000","$275,400","$147,500","$112,000","$137,750","$94,200","$221,500","$2,000","$167,000","$170,250","$9,500","$75,500","$194,000","$11,000","$100,000","$207,166",$0,$0,"$54,166","$110,000","$69,500","$37,500","$216,450","$107,000","$89,200",,"$1,000","$4,000","$1,000","$11,000","$138,000","$171,350","$16,500","$160,900","$209,500","$237,700","$33,000","$119,500","$162,000","$268,700","$163,500","$157,910","$151,500","$1,000",$0,"$2,500","$7,000","$75,000","$1,000","$167,500","$5,000","$181,200","$185,000",$0,"$2,000","$208,000","$57,000","$9,000","$11,000","$2,000","$102,000",$0,"$97,000","$185,500","$67,000","$152,500","$138,500","$186,000","$102,000",$0,"$377,012","$25,500","$14,000","$147,000","$42,500","$166,000","$142,000","$3,500","$3,000","$14,000","$16,500","$13,500",$0,"$5,000","$7,500","$101,000","$17,000","$11,500","$33,500","$44,000","$6,000","$520,600","$310,385",$0,"$39,500","$1,000","$10,000","$84,000","$172,500","$227,000","$7,500","$104,667","$66,000","$118,500","$271,000","$174,800","$170,500","$144,000","$166,500","$226,200","$59,500","$71,000","$76,500","$315,000","$65,000","$245,050","$445,750","$194,100","$4,500","$1,000","$12,500","$18,500",$0,"$186,000","$23,500","$16,500","$381,500","$17,750","$6,500","$202,500","$25,000",$0,"$15,500","$3,500","$14,000",$0,"$51,000","$4,000","$11,000","$10,000","$50,500","$8,000","$18,000","$190,500",$0,"$23,500","$14,500","$37,500",$0,"$31,500","$228,543","$3,500","$9,000","$21,000","$32,083","$12,418","$20,000","$125,000","$29,000","$193,666","$113,100","$17,000","$143,250","-$5,000","$172,833","$322,000","$5,000","$264,500","$157,500","$235,500","$252,500","$165,500","$176,000","$18,000","$159,500","$172,000","$78,500","$148,500","$160,333","$221,250","$204,775","$481,700","$24,500","$7,000",$0,"$2,000","$159,800","$82,500","$2,500","$8,000","$29,000","$19,500",$0,"$153,500","$38,500","$55,500","$250,333","$444,000","$300,500","$7,500","$57,000","$8,000","$130,000","$67,500","$85,500","$93,500","$115,000","$270,500","$282,750","$273,000","$1,000","$240,500",$0,"$2,000","$59,000","$5,500","$44,500","$138,000","$5,000","$8,000","$2,000","$159,100","$136,500","$7,000","$3,000","$93,000","$397,000","$22,000","$26,000","$322,200","$38,500","$24,000","$67,500","$5,000","$93,583","$3,000","$174,000","$14,500","$268,000","$73,000","$44,500","$339,000","$31,000","$238,500","$303,500","$304,750","$309,500","$119,500","$68,750","$198,500","$183,500","$224,500","$103,500","$157,100","$236,610","$148,600","$42,000","$206,300","$292,600","$299,600","$12,000",$0,"$177,000","$247,500","$214,000","$124,550","$173,500","$226,550","$58,500","$55,000","$106,000","$105,500","$221,167","$130,500","$193,700","$227,633","$164,150","$139,500","$169,200","$90,750","$99,750","$126,500","$176,166","$59,000","$167,888","$81,500","$20,000","$79,000","$145,000","$81,000","$130,000","$166,350","$45,000","$145,000","$292,000","$70,500","$7,000","$26,250","$168,000","$2,500","$10,000","$23,000","$24,000","$3,000","$22,500","$57,500","$139,000","$7,500","$4,500","$2,000","$1,000","$21,525","$348,666","$4,000","$4,000","$108,500","$8,000","$10,000","$107,500","$52,500",$0,"$228,500","$88,000","$170,250","$54,500","$75,500","$248,500","$260,250","$142,000","$21,500","$444,500","$37,000","$7,500",,"$4,000","$1,000","$59,000","$23,500","$69,000","$43,000","$106,500","$78,000","$124,000","$277,500","$93,500","$275,200","$126,000","$76,200","$145,500","$60,000","$7,000","$23,500","$77,500","$70,000","$49,000","$251,500","$103,500","$19,500","$60,000",$0,"$244,500","$191,000","$94,000","$26,000","$10,000","$310,500",,"$364,550","$46,000","$349,749","$176,000","$182,250","$235,800","$234,750","$8,000","$6,000","$2,500","$6,500","$3,000","$5,000","$266,260","$3,000","$31,000","$23,200",$0,"$89,500","$17,500",$0,"$6,500","$13,000",$0,"$39,750",$0,"$5,495","$10,500","$119,750","$8,000","$8,500","$1,500","$4,500",,"$12,000",$0,"$1,000","$39,000","$34,500","$85,000","$17,000","$10,000","$19,500","$15,000","$3,500","$141,000","$5,000","$16,000","$125,500","$2,000","$137,500","$3,500","$2,500","$29,000","$7,500","$7,750","$9,000","$13,000","$1,000","$50,500","$80,500","$96,200","$35,000","$35,000","$199,500","$109,000","$181,500","$23,500","$16,500","$4,000","$35,000","$15,000","$5,000",,"$6,000","$11,500","$3,000","$126,000","$137,800","$165,750","$60,000","$35,250","$189,500","$121,000","$2,000","$9,000",$0,"$69,500",$0,"$52,500","$210,000","$253,600","$217,500","$100,000","$211,550","$16,500","$73,000","$8,000","$148,500","$222,500","$37,500","$138,792","$126,500","$2,000","$290,760","$250,250","$15,000","$30,500","$288,500","$113,000","$35,000","$262,000","$67,500","$149,332",$0,"$13,000","$37,500","$20,200","$311,505","$37,000","$2,000","$16,500","$15,000"
Business,"$977,100","$1,172,950","$751,520","$1,021,643","$230,600","$271,249","$1,327,128","$1,007,398","$500,750","$1,426,681","$1,795,603","$342,011","$912,142","$2,627,016","$479,227","$1,230,557","$88,500","$187,950","$264,089","$840,150","$321,240","$285,900","$63,250","$1,417,437","$1,565,291",,"$1,196,275","$439,750","$1,087,100","$601,287","$620,500","$1,844,172","$1,867,867","$385,129","$213,429","$411,263","$163,700","$1,150,309","$717,803","$935,547","$343,250","$263,534","$1,750,802","$150,350","$861,700","$209,700","$231,229","$733,154","$890,490",$813,"$494,930","$376,361","$563,165","$1,030,562","$1,371,284","$3,279,958","$283,385","$777,595","$458,599","$397,500","$391,950","$757,684","$436,050","$760,552","$189,000","$324,550","$333,369","$952,900","$227,531","$807,925","$260,834","$1,097,288","$518,600","$165,150","$144,650","$621,873","$462,590","$244,833","$1,465,995","$589,918","$240,650","$122,300","$315,700","$287,035","$561,400","$1,282,073","$247,650","$355,931","$1,476,905","$575,550",,"$651,995","$267,700","$377,450","$813,750","$906,569","$2,769,805","$2,791,047","$979,493","$408,950","$288,795","$923,673","$248,639","$1,346,507","$1,414,992","$674,323","$2,158,890","$1,531,366","$286,699","$435,699","$234,495","$353,999","$321,424","$46,000","$868,238","$327,609","$456,111","$378,271","$148,499","$878,060","$521,815","$328,867","$546,122","$1,156,016","$183,250","$585,332",$841,"$211,000","$268,116","$238,500","$389,661","$199,316","$962,280","$1,721,897",$0,"$2,215,672","$2,688,739","$1,060,136","$706,770","$633,350","$270,499","$422,297","$1,213,843","$1,002,850","$563,250","$548,500","$847,419","$170,517","$550,245","$358,750","$917,249","$1,181,015","$1,747,125","$3,195,286","$55,083","$21,900","$1,931,603","$960,356","$30,000","$684,366","$882,883","$3,438,139","$271,500","$448,350","$546,167","$23,000","$514,450","$2,564,945","$321,350","$623,083","$177,400","$699,603","$652,050","$802,794","$1,857,079","$1,052,056","$1,595,087","$927,076","$1,078,122","$1,288,457","$1,666,516","$677,950","$513,704","$1,518,156","$446,283","$371,350","$785,842","$668,850","$316,200","$640,706","$1,046,705","$2,823,801","$1,882,853","$331,000","$673,650","$1,078,500","$144,618","$2,717,168","$1,356,595","$665,921",$0,"$1,784,550","$870,850","$642,629","$3,348,039","$2,673,747","$383,250","$1,543,027","$279,473","$127,390","$498,332","$1,522,129","$4,703,176","$738,285","$2,124,249","$903,892","$204,930","$333,999","$373,200","$932,442","$2,265,231","$1,065,267","$95,500","$1,348,915","$963,347","$2,247,073","$462,966","$548,350","$2,000","$378,632","$2,169,215","$146,550","$344,100","$135,830","$1,795,293","$874,306","$2,502,161","$395,173","$49,000","$701,614","$408,020","$547,838","$401,550","$123,700","$329,510","$48,000","$1,550,516","$428,305","$1,242,452","$16,600","$492,825","$584,750","$1,492,898","$949,313","$1,360,053","$45,500","$407,590","$126,200","$575,600","$78,000","$8,000","$332,373","$1,896,830","$3,098,051","$76,140","$704,854","$2,183,368","$333,477","$46,000","$1,022,433","$967,513","$107,695","$679,171","$814,754","$1,950,584","$405,386","$572,196","$231,500","$478,388","$2,858,619","$1,198,047","$2,034,845","$388,500","$1,407,000","$1,686,228","$417,980","$656,500","$1,220,520","$907,642","$1,279,922","$4,615,836","$1,777,449","$276,000","$594,411","$2,723,623","$1,891,399","$300,500","$776,457","$934,840","$2,485,714","$1,551,448","$268,846","$475,645","$235,571","$165,883","$3,898,554","$354,015",$750,"$673,139","$138,499","$1,525,467","$655,006","$120,200","$1,048,719","$100,100","$1,098,326","$1,637,566","$888,329","$149,800","$775,998","$227,834","$661,231","$194,000","$1,118,793","$1,858,544","$10,000","$4,000","$1,122,626","$1,921,340","$1,077,939","$829,650","$335,708","$427,253","$410,750","$710,600","$229,294","$511,465","$584,500","$419,392","$413,374","$555,141","$668,900","$137,839","$1,309,508","$87,750","$307,750","$365,000","$515,357","$774,256","$667,250","$1,043,962","$837,843","$1,612,845","$909,306","$268,000","$138,750","$496,549","$598,648","$751,308","$3,952,077","$567,848","$1,504,228","$162,500","$315,258","$960,130","$548,995","$822,900","$1,297,749","$480,777","$2,012,156","$376,800","$281,427","$663,154","$2,391,780","$3,684,386","$521,638","$1,531,640","$3,129,631","$692,141","$664,084","$667,188","$284,135","$1,050,208","$921,999","$560,324","$377,591","$355,000","$383,350","$390,250","$626,800","$1,195,319","$449,702","$895,421","$2,231,698","$349,498","$2,670,957","$5,114,595","$303,201",,"$952,193","$919,953","$961,606","$412,000","$1,964,662","$1,803,339","$425,323","$2,941,666","$785,109","$737,425","$1,321,453","$776,875","$3,824,581","$63,700","$231,818","$1,505,207","$332,899","$527,262","$720,199","$696,400","$111,856","$725,740","$693,862","$308,411","$522,865","$808,750","$481,779","$496,000","$71,500","$302,910","$629,319","$386,500",,"$39,000","$4,660,418","$2,891,453","$204,590","$316,111","$732,033","$1,389,619","$170,200","$574,043","$466,731","$99,150","$272,500","$631,300","$1,430,108","$861,799","$5,215,366","$1,808,269","$20,250","$3,656,126","$1,642,885","-$2,000","$63,500","$468,299","$122,950","$295,688","$212,693","$1,721,905","$612,962","$234,750","$562,475","$2,749,302","$70,534","$110,000",,"$538,430","$446,250","$203,998","$911,338","$3,063,736","$76,790","$754,134","$1,224,878","$746,092","$634,707","$268,934","$506,333","-$1,500","$945,776","$130,000","$471,709","$376,886","$235,500","$900,905","$1,328,764","$860,134","$523,457","$1,046,529","$131,680","$108,307","$1,019,877","$300,124","$237,900","$704,414","$1,706,187","$639,134","$538,657","$227,650","$498,955","$4,240,769","$1,142,418","$504,223","$490,711","$312,590",,"$758,790","$2,538,046","$1,075,870","$505,350","$11,500","$1,015,559","$625,765","$658,199","$238,908","$313,330","$185,975","$263,200","$230,429","$655,593","$569,483","$1,335,786","$646,150","$2,032,168","$3,175,093","$997,698","$615,750","$690,373","$569,461","$1,861,014","$1,048,721","$55,884","$265,250","$573,654","$697,450","$12,597","$3,246,335","$549,006","$512,737","$250,610","$2,169,295","$2,353,637","$1,360,300","$378,750","$1,682,793","$603,350","$165,000","$460,516","$1,348,300","$665,335","$1,439,716","$2,173,199","$421,499","$3,108,650","$1,758,591"
Ideological,"$63,250","$478,500","$50,700","$25,900","$63,700","$47,798","$39,250","$116,400","$244,725","$421,550","$181,650","$75,700","$520,122","$494,201","$410,666","$720,449","$26,000","$25,599","$35,899","$74,361","$71,800","$232,270","$13,500","$806,815","$636,226",,"$247,443","$55,717","$180,107","$55,000","$69,649","$662,510","$377,173","$63,958","$25,000","$23,140","$42,082","$31,234","$7,037","$197,842","$142,100","$24,700","$614,589","$6,500","$47,108","$40,631","$9,500","$39,002","$123,400",$0,"$11,500","$39,700","$64,000","$393,600","$63,821","$37,413","$314,401","$481,673","$186,118","$22,675","$37,208","$51,115","$8,500","$71,437","$7,000","$45,668","$114,497","$18,249","$42,516","$278,300","$29,800","$26,750","$89,950","$8,500","$25,850","$77,900","$28,000","$107,650","$524,629","$49,000","$12,000","$216,632","$127,500","$150,150","$16,500","$174,737","$19,200","$289,410","$300,499","$19,500",,"$80,172","$39,113","$88,382","$501,450","$82,000","$595,668","$880,289","$14,500","$15,500","$55,000","$19,233","$172,400","$294,064","$414,603","$81,050","$294,463","$384,617","$42,599","$64,283","$43,599","$44,184","$56,550","$25,700","$473,451","$17,530","$242,024","$63,767","$10,000","$59,603","$258,781","$9,000","$15,200","$177,750","$10,000","$439,749","-$7,901","$91,150","$27,000","$59,950","$41,037","$17,952","$199,834","$577,865","$1,500","$905,100","$734,544","$50,249","$42,679","$49,728","$18,028","$29,728","$25,195","$490,329","$141,195","$53,400","$57,044","$29,814","$45,194","$45,294","$32,028","$56,294","$610,726","$481,450","$11,500","$7,000","$646,860","$363,499","$25,750","$39,250","$288,773","$474,331","$10,025","$43,726","$120,375","$5,000","$40,835","$512,125","$21,025","$122,830","$38,150","$296,325","$19,475","$449,108","$369,461","$317,133","$58,900","$116,400","$242,945","$87,700","$282,399","$624,505","$6,725","$160,832","$70,132","$134,330","$81,750","$114,400","$21,525","$52,500","$69,077","$709,705","$710,076","$275,131","$224,977","$415,045","$94,750","$557,499","$719,474","$92,239","$6,500","$512,202","$29,137","$156,882","$631,164","$409,850","$44,316","$34,500","$17,228","$9,132","$18,000","$528,841","$702,601","$344,676","$42,779","$46,150","$90,562","$68,479","$42,329","$47,079","$870,749","$278,235","$78,599","$587,901","$206,599","$637,168","$70,248","$10,599","$1,099","$60,849","$61,927","$5,500","$24,899","$42,199","$267,583","$336,130","$33,300","$31,081","$5,000","$45,000","$34,608","$51,413","$188,361","$24,500","$74,796","$195,898","$536,673","$223,662","$71,579","$32,445","$56,562","$38,500","$345,851","$153,479","$392,441","$2,000","$48,880","$17,500","$27,000","$6,500","$17,000","$29,000","$711,007","$616,243",$0,"$385,053","$703,316","$28,950","$11,750","$100,094","$67,362","$177,443","$545,740","$476,188","$528,973","$35,657","$10,001","$15,000","$78,900","$613,600","$430,543","$563,360","$49,500","$119,950","$53,400","$76,691","$48,500","$41,500","$51,102","$62,149","$780,805","$625,845","$171,253","$244,835","$672,653","$621,875","$56,650","$353,361","$50,500","$584,687","$421,384","$17,392","$69,840","$771,117","$174,237","$700,976","$655,200","$76,520","$253,959","$571,584","$707,796","$33,700","$29,000","$295,727","$84,300","$344,953","$17,500","$200,200","$13,000","$9,000","$10,550","$46,500","$37,602","$529,507","$315,732","$8,500","$1,750","$44,317","$476,034","$410,057","$216,465","$28,300","$179,199","$26,449","$11,599","$43,953","$39,099","$40,849","$68,200","$25,324","$287,004","$55,579","$75,099","$63,000","$13,661","$64,334","$39,176","$137,928","$397,950","$34,136","$323,951","$523,587","$162,679","$309,014","$9,391","$42,015","$15,099","$80,591","$351,234","$247,430","$19,298","$200,777","$23,220","$13,488","$68,026","$56,129","$44,299","$109,549","$160,000","$38,749","$60,549","$49,288","$250,656","$721,469","$665,111","$337,300","$353,614","$617,048","$299,521","$57,859","$22,525","$51,929","$48,135","$74,150","$120,564","$52,714","$12,626","$110,500","$32,425","$353,592","$30,200","$22,025","$194,520","$111,088","$321,340","$652,669","$927,496","$30,450",,"$81,990","$30,700","$48,900","$138,677","$472,960","$330,739","$16,028","$65,700","$20,653","$47,983","$48,278","$500,448","$267,000","$3,000","$33,808","$152,964","$150,311","$60,747","$151,898","$41,320","$24,501","$462,199","$21,203","$72,500","$291,870","$455,347","$101,688","$20,639","$264,059","$13,763","$335,779","$323,549",,"$259,629","$951,789","$632,255","$55,800","$29,500","$467,862","$318,843","$52,600","$85,400","$65,862","$31,040","$118,832","$41,801","$28,599","$29,632","$695,036","$512,691","$3,500","$330,463","$540,150","$19,750","$9,000","$63,400","$93,400","$15,750","$8,750","$771,703","$96,948","$20,458","$64,750","$384,015","$32,580","$12,000",,"$51,093","$7,000","$14,401","$499,891","$21,302","$14,775","$33,250","$28,000","$50,272","$10,052","$36,802","$62,195","$62,883","$22,552","$16,375","$48,772","$23,025","$2,000","$82,410","$550,323","$25,300","$16,552","$66,400","$31,500","$91,250","$35,995","$9,000","$29,475","$258,330","$455,516","$21,250","$27,093","$15,125","$31,707","$522,441","$492,980","$35,200","$41,500","$167,250",,"$345,238","$210,200","$290,600","$21,000","$83,901","$408,017","$45,529","$333,384","$33,349","$56,054","$98,250","$5,950","$213,249","$35,264","$51,650","$464,250","$50,499","$474,431","$501,614","$23,500","$17,250","$328,772","$57,500","$370,213","$25,950","$66,200","$19,500","$109,000","$27,000","$26,219","$504,227","$58,500","$262,005","$50,200","$493,489","$537,250","$4,400","$27,250","$45,428","$25,750","$29,882","$176,382","$77,530","$184,732","$685,472","$647,935","$51,684","$431,281","$419,522"
